"Appraisal Valuation Date";"Appraised Value";"Property City";"Street Address";"premise_name";"representation";"transaction_date";"transaction_price"
"2013-04-03";"34830000.0";"Frisco";"8400StonebrookParkwayFrisco";"";"8400StonebrookPkwyFrisco";"2013-05-16";"34600000"
"2013-04-02";"29800000.0";"Philadelphia";"4601FlatRockRoadPhiladelphia";"Venice Lofts Apartments";"4601FlatRockRoadPhiladelphia";"2013-04-01";"28500000"
"2013-02-20";"29480000.0";"Milford";"18ColonialRoadMilford";"";"18ColonialRoadMilford";"2013-01-01";"28000000"
"2013-02-28";"30610000.0";"Richmond";"19002MissionParkDriveRichmond";"";"19002MissionParkDriveRichmond";"2013-04-01";"29900000"
"2013-03-29";"28400000.0";"Chesapeake";"1501CarltonDriveChesapeake";"Carlton at Greenbrier";"1501CarltonDr.Chesapeake";"2013-05-08";"28200000"
"2013-01-23";"29950000.0";"Orlando";"5826PGABoulevardOrlando";"Bonita Fountains";"5826PGABoulevardOrlando";"2015-12-04";"43320000"
"2013-03-13";"20700000.0";"Austin";"1200BroadmoorDriveAustin";"Heritage at Hillcrest";"1200BroadmoorDriveAustinTexas";"2013-05-10";"20600000"
"2013-02-28";"19000000.0";"Tacoma";"603SouthJStreetTacoma";"Dupre & Scott";"603SouthJStreetTacoma";"2011-04-01";"15000000"
"2013-02-28";"19000000.0";"Tacoma";"603SouthJStreetTacoma";"Chelsea Heights";"603SouthJStreetTacoma";"2013-05-01";"18800000"
"2013-03-24";"17500000.0";"FallRiver";"5500NorthMainStreetFallRiver";"";"5500N.MainStreetFallRiver";"2013-03-01";"17000000"
"2013-03-24";"17500000.0";"FallRiver";"5500NorthMainStreetFallRiver";"";"5500N.MainStreetFallRiver";"2013-05-01";"17000000"
"2013-03-15";"17300000.0";"Largo";"305GladesCircleLargo";"Oasis at Bayside";"305GladesCircleLargo";"2016-09-15";"23150000"
"2013-03-29";"16700000.0";"Tempe";"3501SouthMcClintockDriveTempe";"";"3501S.McClintockDriveTempe";"2013-05-01";"16485000"
"2013-02-26";"17800000.0";"Redlands";"1250NorthUniversityStreetRedlands";"The Maddox";"1250UniversityStreetRedlands";"2018-02-02";"26000000"
"2011-10-25";"51000000.0";"Thornton";"12150WashingtonCenterParkwayThornton";"";"12150WashingtonCenterParkwayThornton";"2011-12-01";"50650000"
"2011-10-25";"54600000.0";"SanClemente";"1100CalleDelCerroSanClemente";"";"1100CalledelCerroSanClemente";"2012-01-01";"55000000"
"2011-09-27";"40810000.0";"Glendale";"18330North79thAvenueGlendale";"Arrowhead Summit";"18330N.79thAvenueGlendale";"2017-09-22";"60545000"
"2011-08-24";"40770000.0";"Noblesville";"14260BaldEagleDriveNoblesville";"";"14260BaldEagleDriveNoblesville";"2013-12-30";"45500000"
"2011-10-06";"35940000.0";"Richmond";"1500HoneyGroveDriveRichmond";"";"1500HoneyGroveDr.Richmond";"2011-11-01";"35475000"
"2011-10-06";"35940000.0";"Richmond";"1500HoneyGroveDriveRichmond";"Honey Tree Apartments";"1500HoneyGroveDriveRichmond";"2011-11-01";"35475000"
"2011-09-21";"33125000.0";"BatonRouge";"5960SiegenLaneBatonRouge";"Bristol Place Apartments";"5960SiegenLaneBatonRouge";"2014-07-11";"38250000"
"2011-09-21";"33125000.0";"BatonRouge";"5960SiegenLaneBatonRouge";"Bristol Place Apartments";"5960SiegenLaneBatonRouge";"2011-12-15";"32450000"
"2011-11-10";"30970000.0";"Minnetonka";"10275GreenbrierRoadMinnetonka";"Woodlands of Minnetonka";"10275GreenbrierRoadMinnetonka";"2016-08-29";"44900000"
"2011-11-10";"30970000.0";"Minnetonka";"10275GreenbrierRoadMinnetonka";"";"10275GreenbrierRoadMinnetonka";"2011-12-01";"30300000"
"2011-10-17";"36900000.0";"Tampa";"1820CrosstownClubPlaceTampa";"";"1820CrosstownClubPlaceTampa";"2011-11-01";"35250000"
"2011-10-17";"36900000.0";"Tampa";"1820CrosstownClubPlaceTampa";"Carlyle at Crosstown";"1820CrosstownClubPlaceTampa";"2015-01-27";"41243000"
"2011-09-30";"35920000.0";"GlendaleHeights";"1245FordhamDriveGlendaleHeights";"";"1245FordhamDriveGlendaleHeights";"2011-11-15";"34500000"
"2011-10-13";"35300000.0";"BuffaloGrove";"1160WindbrookeDriveBuffaloGrove";"";"1160WindbrookeDriveBuffaloGrove";"2012-01-01";"34300000"
"2011-08-24";"25500000.0";"ColoradoSprings";"5910VistaRidgePointColoradoSprings";"The Preserve at Hidden Creek";"5910VistaRidgePointColoradoSprings";"2017-11-22";"47000000"
"2011-10-03";"19175000.0";"Lithonia";"5850HillandaleDriveLithonia";"Lexington on the Green";"5850HillandaleDriveLithonia";"2016-07-07";"20250000"
"2011-09-16";"19400000.0";"Casselberry";"1450SunshadowDriveCasselberry";"Landmark at Wood Trace";"1450SunshadowDrCasselberry";"2017-07-20";"47250000"
"2011-09-07";"19800000.0";"WestCovina";"1829EastWorkmanAvenueWestCovina";"The Atrium at West Covina";"1829EastWorkmanAvenueWestCovina";"2018-10-02";"33850000"
"2011-10-04";"17000000.0";"St.Petersburg";"106004thStreetNorthSt.Petersburg";"Isles of Gateway";"106004thStreetNorthSt.Petersburg";"2016-01-20";"23350000"
"2011-10-24";"17150000.0";"Austin";"10601ManchacaRoadAustin";"Remington Hills Apartments";"10601ManchacaRoadAustin";"2016-09-22";"26000000"
"2011-10-24";"17150000.0";"Austin";"10601ManchacaRoadAustin";"";"10601ManchacaRoadAustin";"2011-10-01";"16800000"
"2011-09-19";"16100000.0";"FortWorth";"8201BoatClubRoadFortWorth";"";"8201BoatClubRoadFortWorth";"2011-11-01";"15380000"
"2011-10-04";"12300000.0";"LittleRock";"11800PleasantRidgeRoadLittleRock";"";"11800PleasantRidgeRdLittleRock";"2011-12-01";"12250000"
"2011-09-30";"13000000.0";"Everett";"11812EastGibsonRoadEverett";"";"11812E.GibsonRoadEverett";"2012-06-20";"10200000"
"2011-09-30";"13000000.0";"Everett";"11812EastGibsonRoadEverett";"Saratoga Apartments";"11812E.GibsonRoadEverett";"2015-10-01";"16000000"
"2012-01-19";"68100000.0";"Annapolis";"1901WestStreetAnnapolis";"The Point at Annapolis (f/k/a 1901 West Apartments)";"1901WestStreetAnnapolis";"2017-10-11";"78167000"
"2012-01-19";"68100000.0";"Annapolis";"1901WestStreetAnnapolis";"";"1901WestStreetAnnapolis";"2012-03-01";"68000000"
"2012-01-17";"29300000.0";"Lenexa";"12701West88thCircleLenexa";"";"12701West88thCircleLenexa";"2012-04-01";"28750000"
"2011-12-16";"32900000.0";"Cary";"100TerrastonePlaceCary";"Cornerstone Apartments";"100TerrastonePlaceCary";"2014-09-04";"40300000"
"2011-12-02";"25000000.0";"Pensacola";"8800PineForestRoadPensacola";"Avalon Apartments";"8800PineForestRoadPensacola";"2014-12-23";"27950000"
"2012-01-03";"17300000.0";"Macon";"399PlantationWayMacon";"Pavilion at Plantation Way";"399PlantationWayMacon";"2012-02-29";"17300000"
"2011-12-13";"16750000.0";"Columbia";"113PacesBrookAvenueColumbia";"Paces Brook Apartments";"113PacesBrookAvenueColumbia";"2012-02-01";"16500000"
"2011-11-16";"12200000.0";"Orlando";"3149LandtreePlaceOrlando";"Reserve at Conway";"3149LandtreePlaceOrlando";"2015-08-11";"18350000"
"2011-11-16";"12200000.0";"Orlando";"3149LandtreePlaceOrlando";"";"3149LandtreePlaceOrlando";"2012-05-01";"12000000"
"2009-05-19";"51000000.0";"Seattle";"10008thAvenueSeattle";"";"10008thAvenueSeattle";"2011-07-01";"60750000"
"2009-05-19";"51000000.0";"Seattle";"10008thAvenueSeattle";"""One Thousand 8th Avenue, David Sorensen""";"10008thAveSeattle";"2015-06-30";"93000000"
"2009-03-19";"12480000.0";"Houston";"2255EldridgeParkwayHouston";"";"2255EldridgeParkwayHouston";"2011-05-01";"14400000"
